SalePrice,Id
177712.14,1461
179061.0,1462
180628.84,1463
181462.05,1464
178855.31,1465
180691.8,1466
180625.52,1467
180574.55,1468
180159.86,1469
177675.14,1470
180414.64,1471
177235.97,1472
177016.42,1473
179152.34,1474
177185.17,1475
182369.34,1476
181480.94,1477
182175.78,1478
181285.77,1479
184365.94,1480
182889.62,1481
180372.34,1482
179785.02,1483
179045.1,1484
181211.17,1485
181297.92,1486
181970.53,1487
181929.84,1488
180604.78,1489
181302.19,1490
180800.8,1491
175879.67,1492
180567.1,1493
181757.03,1494
182291.28,1495
180341.86,1496
179559.88,1497
179412.14,1498
179448.72,1499
179750.11,1500
179812.5,1501
179345.42,1502
181428.98,1503
182023.77,1504
181551.7,1505
179324.88,1506
181873.86,1507
180289.19,1508
179163.88,1509
178187.22,1510
177428.64,1511
179130.66,1512
177918.5,1513
179124.69,1514
180643.22,1515
177769.84,1516
179139.11,1517
177958.86,1518
180983.45,1519
176886.77,1520
176972.42,1521
179560.17,1522
176337.39,1523
176852.16,1524
176590.38,1525
176478.22,1526
177295.58,1527
179022.45,1528
177746.45,1529
180015.05,1530
177042.16,1531
176379.66,1532
177142.83,1533
177479.3,1534
178799.94,1535
175534.61,1536
176784.95,1537
178332.2,1538
179924.25,1539
175926.58,1540
178513.42,1541
178350.89,1542
179183.0,1543
176034.34,1544
176375.75,1545
178064.27,1546
177833.25,1547
177369.39,1548
177630.92,1549
177550.66,1550
176427.97,1551
177126.0,1552
178300.4,1553
176776.31,1554
179388.98,1555
175344.75,1556
175119.12,1557
175689.89,1558
174570.34,1559
177453.9,1560
177656.86,1561
178700.55,1562
177528.45,1563
179018.84,1564
178865.22,1565
181551.1,1566
176065.03,1567
181210.36,1568
178197.03,1569
178697.86,1570
177971.3,1571
178954.03,1572
180735.95,1573
177953.3,1574
180818.14,1575
182102.28,1576
180412.3,1577
178134.3,1578
178778.16,1579
180785.94,1580
179558.55,1581
177983.42,1582
182886.33,1583
181800.05,1584
178193.1,1585
176989.31,1586
176132.89,1587
177818.72,1588
176834.67,1589
178482.02,1590
176122.89,1591
178688.4,1592
177178.42,1593
178508.02,1594
176353.5,1595
180215.3,1596
179341.08,1597
180913.0,1598
179116.4,1599
179447.72,1600
175428.7,1601
176974.25,1602
175365.4,1603
180948.0,1604
182012.25,1605
179769.53,1606
179768.08,1607
181724.52,1608
180064.3,1609
180147.73,1610
178900.36,1611
180083.16,1612
181006.83,1613
177856.44,1614
176370.3,1615
176038.11,1616
176962.56,1617
178517.78,1618
178663.8,1619
181731.47,1620
178611.75,1621
177700.88,1622
181418.5,1623
181206.52,1624
177796.25,1625
180501.3,1626
181591.83,1627
182474.5,1628
181013.92,1629
182423.12,1630
180626.69,1631
180740.48,1632
180692.62,1633
181963.45,1634
181134.7,1635
181030.27,1636
181381.02,1637
180934.56,1638
181215.3,1639
182028.44,1640
180707.62,1641
182211.73,1642
181482.8,1643
182250.94,1644
181367.7,1645
180009.44,1646
180243.62,1647
178098.52,1648
178919.81,1649
178668.92,1650
179423.47,1651
177783.08,1652
177676.69,1653
179570.64,1654
178497.9,1655
179088.25,1656
179419.6,1657
179181.08,1658
177781.8,1659
179875.39,1660
185643.36,1661
183943.03,1662
183376.12,1663
184500.66,1664
183089.7,1665
183387.61,1666
183316.55,1667
183276.31,1668
182235.55,1669
182946.45,1670
182355.2,1671
183661.98,1672
183576.25,1673
182655.92,1674
180842.28,1675
180582.78,1676
181226.39,1677
183739.97,1678
183585.02,1679
182178.73,1680
181309.03,1681
183041.06,1682
181226.52,1683
181609.66,1684
181521.84,1685
180778.39,1686
181448.88,1687
182120.47,1688
182017.67,1689
181547.53,1690
181417.16,1691
182386.6,1692
180361.77,1693
181404.3,1694
180679.31,1695
182526.05,1696
181121.3,1697
184472.1,1698
182114.05,1699
182569.89,1700
182728.67,1701
182457.03,1702
183095.66,1703
182396.72,1704
182391.66,1705
184360.94,1706
181572.53,1707
181322.42,1708
182757.17,1709
181939.64,1710
182984.17,1711
182456.22,1712
182211.2,1713
181504.03,1714
181192.83,1715
180517.0,1716
180867.86,1717
179060.5,1718
181008.0,1719
180721.53,1720
180578.86,1721
178918.3,1722
180624.33,1723
180936.39,1724
181869.66,1725
181180.42,1726
178929.44,1727
181117.47,1728
180165.38,1729
180714.86,1730
177555.94,1731
178025.38,1732
177369.42,1733
178135.58,1734
179172.14,1735
177178.08,1736
182672.58,1737
182449.98,1738
182025.45,1739
180416.47,1740
179894.23,1741
180252.67,1742
180432.4,1743
182548.92,1744
179630.62,1745
180464.22,1746
181718.1,1747
181853.69,1748
179935.72,1749
178492.69,1750
182734.6,1751
177481.64,1752
178480.44,1753
180691.67,1754
178856.27,1755
178196.44,1756
177727.72,1757
178242.2,1758
179477.64,1759
180002.75,1760
180110.44,1761
179387.55,1762
179009.72,1763
176883.9,1764
178142.84,1765
179996.12,1766
182422.0,1767
178103.92,1768
179458.47,1769
180122.8,1770
177221.5,1771
177481.45,1772
178176.64,1773
179059.06,1774
177375.8,1775
177780.66,1776
177082.8,1777
