SalePrice,Id
122032.36,1461
149288.92,1462
173806.97,1463
186793.28,1464
185054.55,1465
177782.94,1466
181403.67,1467
170045.67,1468
188158.42,1469
120606.41,1470
199658.97,1471
102893.99,1472
98249.46,1473
147349.81,1474
116635.52,1475
337066.47,1476
246774.84,1477
272274.25,1478
272878.22,1479
395174.56,1480
302085.56,1481
197626.92,1482
177537.1,1483
170432.77,1484
176467.0,1485
196235.11,1486
328477.66,1487
244805.31,1488
190630.98,1489
226602.39,1490
197577.2,1491
93433.87,1492
192189.72,1493
269070.53,1494
267883.84,1495
221506.77,1496
174327.3,1497
158191.12,1498
168339.45,1499
159045.88,1500
161068.44,1501
146150.16,1502
312492.1,1503
230949.69,1504
217978.3,1505
188163.62,1506
241103.75,1507
198061.2,1508
167078.94,1509
148318.6,1510
141774.05,1511
173407.33,1512
160844.39,1513
156235.69,1514
205617.22,1515
155175.28,1516
166437.31,1517
125471.34,1518
218658.47,1519
127519.414,1520
129716.195,1521
168513.47,1522
108891.91,1523
124136.945,1524
120287.25,1525
111082.664,1526
101104.92,1527
146694.89,1528
141082.95,1529
187692.48,1530
114543.63,1531
106933.48,1532
149427.17,1533
129489.05,1534
163420.52,1535
118598.125,1536
68822.73,1537
172508.08,1538
202672.64,1539
103103.71,1540
145532.12,1541
144720.98,1542
178744.12,1543
97554.89,1544
130564.11,1545
138819.3,1546
141079.39,1547
140288.4,1548
116613.88,1549
138574.08,1550
122135.586,1551
134027.6,1552
141592.62,1553
125148.81,1554
162479.0,1555
94994.49,1556
94480.125,1557
102742.47,1558
79699.47,1559
124759.945,1560
123077.45,1561
129946.4,1562
119947.63,1563
159816.62,1564
149296.9,1565
240289.22,1566
79136.305,1567
199467.84,1568
118117.67,1569
139833.39,1570
119181.305,1571
144298.55,1572
245164.12,1573
130746.55,1574
220318.39,1575
228856.94,1576
191976.67,1577
143407.4,1578
142547.28,1579
193950.95,1580
150349.05,1581
129019.96,1582
327835.2,1583
216575.34,1584
148686.4,1585
78197.5,1586
108475.53,1587
147575.48,1588
110567.984,1589
141155.81,1590
89406.914,1591
125367.37,1592
120107.805,1593
157555.05,1594
101814.07,1595
193384.36,1596
160070.5,1597
194096.69,1598
180727.28,1599
171642.36,1600
76332.445,1601
114660.164,1602
93516.53,1603
260664.73,1604
258285.44,1605
169031.25,1606
174006.0,1607
213385.44,1608
