Id,SalePrice
1461,129000
1462,147500
1463,190000
1464,178000
1465,192000
1466,189000
1467,194500
1468,179000
1469,194500
1470,97000
1471,224000
1472,118000
1473,88000
1474,148500
1475,73000
1476,325000
1477,235128
1478,256300
1479,320000
1480,315000
1481,325000
1482,192500
1483,186000
1484,153900
1485,188500
1486,189000
1487,582933
1488,255500
1489,185500
1490,175000
1491,190000
1492,109500
1493,230000
1494,287000
1495,350000
1496,207500
1497,174000
1498,173733
1499,173733
1500,193000
1501,172500
1502,146000
1503,213000
1504,212000
1505,203000
1506,190000
1507,260000
1508,175000
1509,154000
1510,155000
1511,139000
1512,167000
1513,128000
1514,136500
1515,177000
1516,177000
1517,148000
1518,136500
1519,210000
1520,142000
1521,139000
1522,166000
1523,80000
1524,145000
1525,129000
1526,80000
1527,109500
1528,145000
1529,129000
1530,164900
1531,137500
1532,82500
1533,139000
1534,127000
1535,147000
1536,100000
1537,60000
1538,213000
1539,157500
1540,122500
1541,110000
1542,130500
1543,177000
1544,109000
1545,128000
1546,131000
1547,131000
1548,128000
1549,128000
1550,127000
1551,128000
1552,140000
1553,139500
1554,130500
1555,160000
1556,68400
1557,107500
1558,128000
1559,40000
1560,95000
1561,179000
1562,130000
1563,97000
1564,165500
1565,155000
1566,224000
1567,82000
1568,216500
1569,139000
1570,130000
1571,133000
1572,148000
1573,208900
1574,124000
1575,170000
1576,201000
1577,186000
1578,128000
1579,147000
1580,216000
1581,154000
1582,130000
1583,350000
1584,189000
1585,143000
1586,84900
1587,128000
1588,142000
1589,141000
1590,125000
1591,80000
1592,115000
1593,121000
1594,139000
1595,76500
1596,244000
1597,154300
1598,155000
1599,187500
1600,192500
1601,80000
1602,112000
1603,100000
1604,275000
1605,310000
1606,181500
1607,171000
1608,192000
1609,186000
1610,167500
1611,181000
1612,186000
1613,181000
1614,165500
1615,97000
1616,97000
1617,80000
1618,130000
1619,128200
1620,188000
1621,122000
1622,136500
1623,260000
1624,215000
1625,127500
1626,175000
1627,190000
1628,310000
1629,180000
1630,377426
1631,189000
1632,227000
1633,180000
1634,223500
1635,184000
1636,179000
1637,223500
1638,248000
1639,190000
1640,236000
1641,157000
1642,230000
1643,248000
1644,189000
1645,287000
1646,139000
1647,152000
1648,149350
1649,125500
1650,123000
1651,124500
1652,110000
1653,106000
1654,140000
1655,127500
1656,148500
1657,177000
1658,146000
1659,127500
1660,165500
1661,345000
1662,335000
1663,315000
1664,325000
1665,255500
1666,280000
1667,240000
1668,337500
1669,220000
1670,337500
1671,326000
1672,501837
1673,325000
1674,245000
1675,224000
1676,196000
1677,207000
1678,315000
1679,315000
1680,319900
1681,174000
1682,280000
1683,160200
1684,179540
1685,179000
1686,160200
1687,178000
1688,178000
1689,189000
1690,184000
1691,184100
1692,310000
1693,185900
1694,193000
1695,174000
1696,310000
1697,178000
1698,305000
1699,230000
1700,213000
1701,261500
1702,227000
1703,245000
1704,306000
1705,190000
1706,377426
1707,182000
1708,185500
1709,232000
1710,264132
1711,310000
1712,240000
1713,220000
1714,204000
1715,210000
1716,179900
1717,181000
1718,124000
1719,190000
1720,230000
1721,190000
1722,179000
1723,152000
1724,287090
1725,214900
1726,177500
1727,153900
1728,177500
1729,148500
1730,148500
1731,124000
1732,162000
1733,134900
1734,112000
1735,130000
1736,117500
1737,316600
1738,228000
1739,340000
1740,192500
1741,168500
1742,177500
1743,154000
1744,316600
1745,196500
1746,205000
1747,187500
1748,205000
1749,145000
1750,142000
1751,190000
1752,139000
1753,145000
1754,180000
1755,143000
1756,120000
1757,124500
1758,142000
1759,157500
1760,163000
1761,166000
1762,159500
1763,155000
1764,110000
1765,262000
1766,166000
1767,205000
1768,145000
1769,157000
1770,136500
1771,142000
1772,117500
1773,124000
1774,144000
1775,109000
1776,127500
1777,109000
1778,133000
1779,109500
1780,154000
1781,124500
1782,80000
1783,140000
1784,100000
1785,127500
1786,124000
1787,157500
1788,82000
1789,105500
1790,82000
1791,200000
1792,136000
1793,129500
1794,147000
1795,139000
1796,83000
1797,177500
1798,110000
1799,124500
1800,130000
1801,108000
1802,130000
1803,137500
1804,147000
1805,139000
1806,127000
1807,122500
1808,140000
1809,115000
1810,177500
1811,100000
1812,85000
1813,127000
1814,100000
1815,82000
1816,102776
1817,98000
1818,117000
1819,128000
1820,80000
1821,133000
1822,155000
1823,82000
1824,121000
1825,128000
1826,78000
1827,115000
1828,145000
1829,174900
1830,140000
1831,140000
1832,124000
1833,104900
1834,128000
1835,135900
1836,124000
1837,87000
1838,137500
1839,130000
1840,179000
1841,179200
1842,108000
1843,120000
1844,130000
1845,107500
1846,165500
1847,165000
1848,82000
1849,112000
1850,110000
1851,174500
1852,141000
1853,128000
1854,151000
1855,151000
1856,189000
1857,177000
1858,142953
1859,118964
1860,153337
1861,118964
1862,200000
1863,200000
1864,200000
1865,350000
1866,297000
1867,232000
1868,220000
1869,194500
1870,230000
1871,287090
1872,179000
1873,200000
1874,155000
1875,185000
1876,237000
1877,204000
1878,192000
1879,135000
1880,147000
1881,297000
1882,222500
1883,173000
1884,194500
1885,257000
1886,278000
1887,175000
1888,274900
1889,178000
1890,123000
1891,148000
1892,112500
1893,139000
1894,136500
1895,139000
1896,127500
1897,139000
1898,121000
1899,147000
1900,155000
1901,175000
1902,82500
1903,154300
1904,127500
1905,163000
1906,139000
1907,170000
1908,115000
1909,151000
1910,124000
1911,190000
1912,345000
1913,142953
1914,68500
1915,392500
1916,82000
1917,212000
1918,132000
1919,151000
1920,181000
1921,377426
1922,227000
1923,205000
1924,170000
1925,190000
1926,297000
1927,135000
1928,177000
1929,133900
1930,127500
1931,151000
1932,154000
1933,147000
1934,226700
1935,185000
1936,226700
1937,181000
1938,179000
1939,197900
1940,147000
1941,174000
1942,244000
1943,213500
1944,325000
1945,377426
1946,143900
1947,277500
1948,181000
1949,311872
1950,178400
1951,301500
1952,241500
1953,180000
1954,174000
1955,154000
1956,287000
1957,140000
1958,340000
1959,126000
1960,109500
1961,112500
1962,118000
1963,118000
1964,106000
1965,148500
1966,160200
1967,320000
1968,350000
1969,315000
1970,426000
1971,280000
1972,426000
1973,214000
1974,354000
1975,239686
1976,385000
1977,315000
1978,556581
1979,227000
1980,174000
1981,277500
1982,227000
1983,174000
1984,164700
1985,275000
1986,251000
1987,159895
1988,178900
1989,225000
1990,248000
1991,254000
1992,230000
1993,180000
1994,236000
1995,183500
1996,250000
1997,340000
1998,440000
1999,335000
2000,230000
2001,284000
2002,306000
2003,232000
2004,339750
2005,214000
2006,225000
2007,230000
2008,203000
2009,193000
2010,195000
2011,141000
2012,179900
2013,226700
2014,201000
2015,190000
2016,193000
2017,201000
2018,134000
2019,136500
2020,118500
2021,122000
2022,215000
2023,129000
2024,383970
2025,556581
2026,160200
2027,173733
2028,146000
2029,155000
2030,275000
2031,187500
2032,230000
2033,230000
2034,155000
2035,230000
2036,199900
2037,222000
2038,212000
2039,170000
2040,258000
2041,315000
2042,215000
2043,163500
2044,167000
2045,287000
2046,110000
2047,154000
2048,129000
2049,142600
2050,154000
2051,112000
2052,129000
2053,149900
2054,125500
2055,145000
2056,139000
2057,125000
2058,240000
2059,141000
2060,175000
2061,170000
2062,139000
2063,100000
2064,129000
2065,112500
2066,163000
2067,139000
2068,171000
2069,109500
2070,119000
2071,73000
2072,159500
2073,170000
2074,163000
2075,135000
2076,132000
2077,174900
2078,139000
2079,123000
2080,109000
2081,127000
2082,141000
2083,122000
2084,109500
2085,110000
2086,162000
2087,130000
2088,128000
2089,82000
2090,135000
2091,106250
2092,112000
2093,144000
2094,118000
2095,163000
2096,100000
2097,79900
2098,174900
2099,68500
2100,139000
2101,122500
2102,128000
2103,100000
2104,122500
2105,127000
2106,67000
2107,215000
2108,100000
2109,107900
2110,82500
2111,158000
2112,115000
2113,130500
2114,128000
2115,188700
2116,115000
2117,128000
2118,112000
2119,119000
2120,105000
2121,83000
2122,34900
2123,112000
2124,171000
2125,110000
2126,134432
2127,160000
2128,120000
2129,115000
2130,155000
2131,128500
2132,112000
2133,110000
2134,105000
2135,110000
2136,93000
2137,100000
2138,135000
2139,144000
2140,136500
2141,148000
2142,119000
2143,125000
2144,129500
2145,132000
2146,170000
2147,165000
2148,146000
2149,148500
2150,169000
2151,115000
2152,208900
2153,193500
2154,118500
2155,154000
2156,211000
2157,260000
2158,200000
2159,192500
2160,183500
2161,232000
2162,501837
2163,305000
2164,275000
2165,235000
2166,149900
2167,220000
2168,204000
2169,226700
2170,190000
2171,176000
2172,143500
2173,144000
2174,228500
2175,313000
2176,293077
2177,214000
2178,174000
2179,136500
2180,206300
2181,187100
2182,235128
2183,187100
2184,135000
2185,145000
2186,175000
2187,144000
2188,155000
2189,240000
2190,82000
2191,82000
2192,81000
2193,97000
2194,127000
2195,82500
2196,109900
2197,133000
2198,139400
2199,172500
2200,133000
2201,132000
2202,161000
2203,115000
2204,104900
2205,112000
2206,165000
2207,168000
2208,205000
2209,244000
2210,115000
2211,100000
2212,130000
2213,115000
2214,155000
2215,109000
2216,127000
2217,60000
2218,105000
2219,100000
2220,125500
2221,392500
2222,275000
2223,275000
2224,172500
2225,106000
2226,203000
2227,207000
2228,227000
2229,237000
2230,167500
2231,270000
2232,180000
2233,175000
2234,203000
2235,179200
2236,208900
2237,325624
2238,206300
2239,84500
2240,165000
2241,155000
2242,130000
2243,119500
2244,125500
2245,120000
2246,135000
2247,107500
2248,124900
2249,130000
2250,129000
2251,104900
2252,143000
2253,156932
2254,165600
