Id,SalePrice
1461,120931.78713505525
1462,155904.9525359444
1463,182384.24257771563
1464,194116.11588404723
1465,186822.95491329514
1466,172075.00460909956
1467,182370.8242150029
1468,165561.19368810803
1469,189773.72015834344
1470,122692.7853257772
1471,200943.65018685497
1472,98078.22303686859
1473,95823.47125076942
1474,149929.58775712957
1475,110619.34585638586
1476,366710.2461334765
1477,250145.9760225151
1478,298886.95281915
1479,281145.80907542794
1480,465662.2894920827
1481,335263.33958358946
1482,214845.68934632686
1483,171230.99437225887
1484,165722.74555496746
1485,181755.30465187095
1486,197092.5488653797
1487,340494.59614994435
1488,230879.68188519936
1489,198917.89861707532
1490,226623.55846089037
1491,193004.5582680933
1492,94362.4019995129
1493,183413.11126199237
1494,287751.75445194513
1495,280864.309581258
1496,229475.02215328036
1497,183614.740423544
1498,165644.2066259988
1499,159473.56563348076
1500,156036.5801018783
1501,175869.1806312768
1502,151328.9341730898
1503,294033.1982369035
1504,246702.73802724117
1505,224361.6908889305
1506,189540.44544644005
1507,241964.99747915694
1508,195756.90480242914
1509,159791.17669087302
1510,147250.03911102575
1511,146307.67403868484
1512,172242.94159492568
1513,147390.35419797612
1514,148469.72481923865
1515,187265.91156393514
1516,155027.375007119
1517,161332.32250436075
1518,134567.68732979178
1519,214102.27586771362
1520,131045.55415243613
1521,132407.16391594452
1522,167841.748244309
1523,110274.38352855788
1524,123909.02565093864
1525,120147.61282607593
1526,116369.81165923782
1527,97171.37719988932
1528,139763.4884265963
1529,148334.66734935553
1530,182153.68229596593
1531,111810.76070624827
1532,96623.78579509193
1533,149742.3434896177
1534,119815.38230279999
1535,155520.26827842163
1536,112425.01801422786
1537,63453.36347190084
1538,157319.93843654034
1539,187324.79946426846
1540,99659.1950382589
1541,141628.96348360743
1542,143730.5383475794
1543,209166.64872261582
1544,86465.69997240172
1545,107501.93812674063
1546,133181.11136847635
1547,138039.1901958694
1548,137822.95126926914
1549,115404.83843187426
1550,132377.213678794
1551,112587.48231763153
1552,135388.5777401923
1553,146861.9574155538
1554,116031.16607043578
1555,163327.2409028233
1556,89826.15962596844
1557,104481.78338261966
1558,96012.0395023013
1559,74258.93152580377
1560,137043.8848866731
1561,133590.39843207877
1562,128982.99586687559
1563,120249.34332589946
1564,153190.30401884692
1565,141929.4133545127
1566,240026.20797923778
1567,76225.97976283345
1568,222304.55435951296
1569,131977.19673228625
1570,137936.8386217574
1571,116952.93371202475
1572,144220.75069841274
1573,234904.75488112657
1574,112446.42831602563
1575,218882.25356167502
1576,232125.47808852053
1577,185116.05655338152
1578,136161.55078262178
1579,142739.49507875674
1580,194540.2194702979
1581,156621.06867733444
1582,124858.43972291467
1583,311936.132723668
1584,223238.963164446
1585,142716.40738628464
1586,75831.84711126558
1587,100756.4964733124
1588,147383.96734360134
1589,104327.23680707134
1590,129253.3716593902
1591,95314.96864705851
1592,121040.68561989484
1593,124011.96096104244
1594,134976.4299481828
1595,111248.33789702256
1596,242455.9910860112
1597,187004.9945849369
1598,210386.30447681097
1599,169441.9874367903
1600,163791.3663073105
1601,62519.52789432686
1602,113914.31620193577
1603,70158.62113904438
1604,284728.0242831283
1605,249300.92980338607
1606,171046.9242307463
1607,167478.7910992642
1608,210599.71183034556
1609,185626.16494925454
1610,148999.8866168434
1611,138612.01332589818
1612,170624.32731216095
1613,167600.05936240783
1614,129218.76756025279
1615,87191.57617302527
1616,72489.9848985179
1617,91151.19489722826
1618,124745.86473762072
1619,143225.7215411697
1620,163147.81460977165
1621,135733.90143349735
1622,139795.56135079882
1623,281240.6664365869
1624,213172.5239896087
1625,120545.81251642147
1626,160068.03084139223
1627,185150.49934724855
1628,280633.66736446694
1629,177097.0500761387
1630,341944.61282272823
1631,219997.61657289797
1632,237524.91687493143
1633,173175.92545708935
1634,188070.99178216862
1635,175270.07768277283
1636,153918.25427429695
1637,193247.3665625367
1638,189929.06112840728
1639,176961.12439798823
1640,263704.95348316344
1641,170890.38821179702
1642,236516.03465425232
1643,229606.6449532133
1644,235982.98499422928
1645,184862.81757542834
